year,artist
2018,SEKAI NO OWARI
2018,Sexy Zone
2018,Suchmos
2018,Superfly
2018,TWICE
2018,WANIMA
2018,YOSHIKI feat. HYDE
2018,YOSHIKI feat. サラ・ブライトマン
2018,aiko
2018,nan
2018,あいみょん
2018,いきものがかり
2018,ゆず
2018,キアラ・セトル
2018,コブクロ
2018,ゴールデンボンバー
2018,サザンオールスターズ
2018,ジャニーズWEST
2018,スガシカオ
2018,スキマスイッチ
2018,ポルノグラフィティ
2018,三代目 J Soul Brothers
2018,三山ひろし
2018,三浦大知
2018,丘みどり
2018,乃木坂46
2018,五木ひろし
2018,刀剣男士
2018,北島三郎
2018,北島兄弟
2018,和楽器バンド
2018,坂本冬美
2018,天童よしみ
2018,宮本浩次
2018,山内惠介
2018,島津亜矢
2018,嵐
2018,嶋大輔
2018,平井堅
2018,広瀬香美
2018,星野源
2018,東京スカパラダイスオーケストラ feat.さかなクン
2018,松任谷由実
2018,松田聖子
2018,椎名林檎
2018,欅坂46
2018,武田真治
2018,水森かおり
2018,氷川きよし
2018,石川さゆり
2018,福山雅治
2018,米津玄師
2018,純烈
2018,菅田将暉
2018,西野カナ
2018,郷ひろみ
2018,関ジャニ∞
2018,青山テルマ
2018,高橋洋子
2019,A.B.C-Z
2019,AI
2019,AI美空ひばり
2019,AKB48
2019,BABYMETAL
2019,BARBEE BOYS
2019,BLUE ENCOUNT
2019,CHEMISTRY
2019,DA PUMP
2019,DEAN FUJIOKA
2019,DJ松永（Creepy Nuts）
2019,E-girls
2019,EXILE
2019,Foorin
2019,GENERATIONS
2019,GENERATIONS from EXILE TRIBE
2019,HIKAKIN & SEIKIN
2019,Hey! Say! JUMP
2019,KAT-TUN
2019,KREVA
2019,KinKi Kids
2019,King & Prince
2019,King Gnu
2019,Kis-My-Ft2
2019,LUNA SEA
2019,LiSA
2019,Little Glee Monster
2019,MAN WITH A MISSION
2019,MISIA
2019,MIYAVI
2019,Matt
2019,NEWS
2019,Official髭男dism
2019,Perfume
2019,RADWIMPS
2019,SEKAI NO OWARI
2019,Sexy Zone
2019,SixTONES
2019,SixTONES vs Snow Man
2019,Snow Man
2019,Superfly
2019,THE RAMPAGE
2019,THE RAMPAGE from EXILE TRIBE
2019,THE YELLOW MONKEY
2019,TWICE
2019,Toshl
2019,V6
2019,WANIMA
2019,YOSHIKI feat. KISS <YOSHIKISS>
2019,aiko
2019,m-flo
2019,milet
2019,いきものがかり
2019,おしりたんてい
2019,きゃりーぱみゅぱみゅ
2019,ゆず
2019,コブクロ
2019,ゴスペラーズ
2019,ゴールデンボンバー
2019,ジェジュン
2019,ジャニーズJr.
2019,ジャニーズWEST
2019,スキマスイッチ
2019,ダイアモンド☆ユカイ
2019,ビートたけし
2019,一青窈
2019,三代目 J SOUL BROTHERS
2019,三代目 J SOUL BROTHERS from EXILE TRIBE
2019,三山ひろし
2019,三浦大知
2019,三浦祐太朗
2019,丘みどり
2019,中元みずき
2019,中村倫也&木下晴香
2019,乃木坂46
2019,五木ひろし
2019,倉木麻衣
2019,倖田來未
2019,和楽器バンド
2019,坂本冬美
2019,天童よしみ
2019,宮本浩次
2019,小沢健二
2019,山下智久
2019,山内惠介
2019,山崎育三郎
2019,島津亜矢
2019,嵐
2019,平井堅
2019,平井大
2019,平手友梨奈（欅坂46）
2019,日向坂46
2019,星野源
2019,木村カエラ
2019,東京スカパラダイスオーケストラ
2019,松任谷由実
2019,松田聖子
2019,森山直太朗
2019,椎名林檎
2019,槇原敬之
2019,欅坂46
2019,水森かおり
2019,氷川きよし
2019,石丸幹二
2019,石川さゆり
2019,福山雅治
2019,秦基博
2019,竹内まりや
2019,純烈
2019,花*花
2019,荻野目洋子
2019,菅田将暉
2019,郷ひろみ
2019,関ジャニ∞
2019,麻倉未稀
2020,A.B.C-Z
2020,AI
2020,AKB48
2020,BABYMETAL
2020,BTS
2020,BoA
2020,CHEMISTRY
2020,DA PUMP
2020,DISH//
2020,E-girls
2020,EXILE
2020,Foorin
2020,GENERATIONS
2020,GENERATIONS from EXILE TRIBE
2020,GReeeeN
2020,HIKAKIN & SEIKIN
2020,Hey! Say! JUMP
2020,Hey!Say!JUMP
2020,IZ*ONE
2020,JUJU
2020,Jr.EXILE
2020,KAT-TUN
2020,KinKi Kids
2020,King & Prince
2020,King Gnu
2020,Kis-My-Ft2
2020,LiSA
2020,Little Glee Monster
2020,MISIA
2020,Mr.Children
2020,NEWS
2020,NiziU
2020,Official髭男dism
2020,Perfume
2020,SEKAI NO OWARI
2020,Sexy Zone
2020,SixTONES
2020,Snow Man
2020,Superfly
2020,THE RAMPAGE
2020,TOMORROW X TOGETHER
2020,Toshl
2020,Uru
2020,V6
2020,YOASOBI
2020,YOSHIKI
2020,aiko
2020,milet
2020,nan
2020,あいみょん
2020,いきものがかり
2020,さだまさし
2020,ゆず
2020,コブクロ
2020,ゴールデンボンバー
2020,ジェジュン
2020,ジャニーズWEST
2020,ナオト・インティライミ
2020,ビリー・アイリッシュ
2020,マカロニえんぴつ
2020,三代目 J SOUL BROTHERS
2020,三代目 J SOUL BROTHERS from EXILE TRIBE
2020,三山ひろし
2020,三浦大知
2020,乃木坂46
2020,久保田利伸
2020,五木ひろし
2020,坂本冬美
2020,天童よしみ
2020,宮本浩次
2020,家入レオ
2020,小沢健二
2020,山内惠介
2020,嵐
2020,広瀬香美
2020,日向坂46
2020,星野源
2020,東京スカパラダイスオーケストラ feat.川上洋平
2020,東京事変
2020,松任谷由実
2020,松田聖子
2020,柴咲コウ
2020,森七菜
2020,櫻坂46
2020,水森かおり
2020,氷川きよし
2020,池田エライザ
2020,清塚信也
2020,玉置浩二
2020,瑛人
2020,石丸幹二
2020,石川さゆり
2020,福山雅治
2020,純烈
2020,絢香
2020,郷ひろみ
2020,鈴木雅之
2020,関ジャニ∞
2020,高嶋ちさ子
2020,［Alexandros］
2021,A.B.C-Z
2021,AI
2021,AKB48
2021,Awesome City Club
2021,Awesome City Club × 宮本笑里
2021,BE:FIRST
2021,BLOOM VASE
2021,BUMP OF CHICKEN
2021,BiSH
2021,Creepy Nuts
2021,DA PUMP
2021,DISH//
2021,Def Tech
2021,EXILE
2021,EXILE×三代目 J SOUL BROTHERS
2021,EXIT
2021,GENERATIONS
2021,GENERATIONS from EXILE TRIBE
2021,Hey! Say! JUMP
2021,J-FRIENDS
2021,JUJU
2021,Jr.EXILE（GENERATIONS、THE RAMPAGE、FANTASTICS、BALLISTIK BOYZ）
2021,KAT-TUN
2021,KinKi Kids
2021,King & Prince
2021,King Gnu
2021,Kis-My-Ft2
2021,L'Arc〜en〜Ciel
2021,LiSA
2021,Little Glee Monster
2021,MISIA
2021,Mr.Children
2021,NEWS
2021,NiziU
2021,ORANGE RANGE
2021,Perfume
2021,SEKAI NO OWARI
2021,SMAP
2021,Sexy Zone
2021,SexyZone × モーニング娘。
2021,SixTONES
2021,Snow Man
2021,THE RAMPAGE
2021,TOKIO
2021,TOMORROW X TOGETHER
2021,TWICE
2021,Toshl
2021,UVERworld
2021,V6
2021,YOASOBI
2021,YOASOBI with ミドリーズ
2021,aiko
2021,milet
2021,millennium parade × Belle
2021,あいみょん
2021,いきものがかり
2021,さだまさし
2021,なにわ男子
2021,ひらめ
2021,まふまふ
2021,ゆず
2021,ケツメイシ
2021,ゴスペラーズ
2021,ゴスペラーズ×Little Glee Monster
2021,ジェジュン
2021,ジャニーズWEST
2021,スガシカオ
2021,ポルノグラフィティ
2021,マカロニえんぴつ
2021,三代目 J SOUL BROTHERS
2021,三代目 J SOUL BROTHERS from EXILE TRIBE
2021,三山ひろし
2021,三浦大知
2021,上白石萌音
2021,中丸雄一
2021,中島美嘉
2021,乃木坂46
2021,優里
2021,坂本冬美
2021,大塚愛
2021,天童よしみ
2021,宮本浩次
2021,小沢健二
2021,山内惠介
2021,山田裕貴×葵わかな
2021,嵐
2021,嵐 × 乃木坂46
2021,川崎鷹也
2021,布袋寅泰
2021,平井大
2021,日向坂46
2021,星野源
2021,村方乃々佳
2021,東京事変
2021,東京都交響楽団
2021,松平健
2021,桑田佳祐
2021,森高千里
2021,櫻井翔
2021,櫻坂46
2021,水森かおり
2021,氷川きよし
2021,浜崎あゆみ
2021,清水美依紗
2021,石丸幹二×長屋晴子（緑黄色社会）
2021,石川さゆり
2021,福山雅治
2021,純烈
2021,細川たかし
2021,緑黄色社会
2021,薬師丸ひろ子
2021,藤井風
2021,西野カナ
2021,郷ひろみ
2021,鈴木雅之
2021,関ジャニ∞
2021,高橋洋子
2022,&TEAM
2022,10-FEET
2022,A.B.C-Z
2022,AKB48
2022,Ado
2022,Aimer
2022,BE:FIRST
2022,BiSH
2022,DA PUMP
2022,DISH//
2022,Da-iCE
2022,ELEVENPLAY
2022,FANTASTICS
2022,FANTASTICS from EXILE TRIBE
2022,GENERATIONS
2022,Gaho × THE BEAT GARDEN
2022,Hey! Say! JUMP
2022,Hoodie fam
2022,IVE
2022,JO1
2022,KARA
2022,KAT-TUN
2022,KinKi Kids
2022,King & Prince
2022,King Gnu
2022,Kis-My-Ft2
2022,LE SSERAFIM
2022,Little Glee Monster
2022,MISIA
2022,MIYAVI
2022,Mirage Collective
2022,Mrs. GREEN APPLE
2022,NEWS
2022,NiziU
2022,O-Zone
2022,Official髭男dism
2022,Original Love & Ovall
2022,PUFFY
2022,Perfume
2022,SEKAI NO OWARI
2022,SEVENTEEN
2022,STU48
2022,Saucy Dog
2022,Sexy Zone
2022,SixTONES
2022,Snow Man
2022,Stray Kids
2022,Superfly
2022,THE LAST ROCKSTARS
2022,THE RAMPAGE
2022,THE RAMPAGE from EXILE TRIBE
2022,TWICE
2022,Tani Yuuki
2022,Travis Japan
2022,Vaundy
2022,YUKI
2022,aiko
2022,back number
2022,milet
2022,milet×Aimer×幾田りら×Vaundy
2022,nan
2022,yama
2022,あいみょん
2022,なにわ男子
2022,ゆず
2022,ゆず×中川大志
2022,ウタ
2022,ゴスペラーズ×Little Glee Monster
2022,ゴールデンボンバー
2022,ジェジュン
2022,ジャニーズWEST
2022,ブラックビスケッツ
2022,ポルノグラフィティ
2022,マカロニえんぴつ
2022,レミオロメン
2022,三山ひろし
2022,三浦大知
2022,中島美嘉
2022,乃木坂46
2022,優里
2022,前田公輝×内田真礼×Cocomi
2022,加山雄三
2022,坂本冬美
2022,大塚愛
2022,天童よしみ
2022,安全地帯
2022,宮本浩次
2022,小沢健二
2022,山内惠介
2022,工藤静香
2022,工藤静香×Cocomi
2022,広瀬香美
2022,後藤真希
2022,日向坂46
2022,星野源
2022,松任谷由実 with 荒井由実
2022,"桑田佳祐 feat. 佐野元春, 世良公則, Char, 野口五郎"
2022,櫻坂46
2022,水森かおり
2022,氷川きよし
2022,清塚信也
2022,石丸幹二×アイナ・ジ・エンド
2022,石川さゆり
2022,福山雅治
2022,篠原涼子
2022,純烈（ダチョウ倶楽部・有吉弘行）
2022,絢香×コブクロ
2022,緑黄色社会
2022,美炎-BIEN-
2022,藤井風
2022,西野カナ
2022,郷ひろみ
2022,鈴木雅之
2022,関ジャニ∞
2023,&TEAM
2023,10-FEET
2023,AI
2023,Ado
2023,"Awich, NENE, MaRI, AI & YURIYAN RETRIEVER"
2023,BE:FIRST
2023,DA PUMP
2023,Da-iCE
2023,GENERATIONS
2023,GENERATIONS from EXILE TRIBE
2023,IMP.
2023,JO1
2023,JUJU
2023,Kep1er
2023,KinKi Kids
2023,KinKi Kids×King & Prince
2023,King & Prince
2023,King Gnu
2023,L'Arc〜en〜Ciel
2023,LE SSERAFIM
2023,Little Glee Monster
2023,MAN WITH A MISSION × milet
2023,MIKIKO×Rhizomatiks×三浦大知×SP Dancers×ELEVENPLAY×Perfume
2023,MISAMO
2023,MISIA
2023,Mrs. GREEN APPLE
2023,NewJeans
2023,NiziU
2023,Official髭男dism
2023,Perfume
2023,Rockon Social Club
2023,SEKAI NO OWARI
2023,SEVENTEEN
2023,SKY-HI×Nissy
2023,SUPER BEAVER
2023,Saucy Dog
2023,Sexy Zone
2023,SixTONES
2023,Snow Man
2023,Stray Kids
2023,Stray Kids×LiSA
2023,Superfly
2023,THE RAMPAGE
2023,Toshl
2023,YOASOBI
2023,YOSHIKI
2023,aiko
2023,ano
2023,milet × MAN WITH A MISSION
2023,yama
2023,あいみょん
2023,いきものがかり
2023,さだまさし
2023,すとぷり
2023,ちゃんみな
2023,なにわ男子
2023,ゆず
2023,エレファントカシマシ
2023,キタニタツヤ
2023,キョコロヒー
2023,クイーン+アダム・ランバート
2023,ゴールデンボンバー
2023,ジェジュン
2023,ハマいく
2023,ポケットビスケッツ&ブラックビスケッツ
2023,マカロニえんぴつ
2023,モーニング娘。MステSPユニット（モーニング娘。’23＆OGメンバー）
2023,三山ひろし
2023,三浦大知
2023,乃木坂46
2023,伊藤蘭
2023,優里
2023,坂本冬美
2023,大泉洋
2023,大泉洋、大森元貴、LE SSERAFIM
2023,天童よしみ
2023,寺尾聰
2023,山内惠介
2023,山寺宏一、櫻坂46、Stray Kids
2023,新しい学校のリーダーズ
2023,日向坂46
2023,昆夏美×山崎育三郎
2023,星野源
2023,有吉弘行×藤井フミヤ
2023,椎名林檎
2023,橋本環奈、浜辺美波
2023,櫻坂46
2023,水森かおり
2023,清水美依紗
2023,生田絵梨花
2023,由薫
2023,石川さゆり
2023,福山雅治
2023,紅白有志の皆さん
2023,純烈
2023,緑黄色社会
2023,薬師丸ひろ子
2023,藤井フミヤ
2023,豊原江理佳
2023,郷ひろみ
2023,鈴木雅之
2023,関ジャニ∞
2024,&TEAM
2024,AI
2024,Awich
2024,Aぇ! group
2024,B'z
2024,BE:FIRST
2024,BOYNEXTDOOR
2024,B小町
2024,CANDY TUNE
2024,CUTIE STREET
2024,Creepy Nuts
2024,Da-iCE
2024,Da-iCE、ME:I
2024,FRUITS ZIPPER
2024,GENERATIONS
2024,GLAY
2024,HY
2024,Hey! Say! JUMP
2024,ILLIT
2024,ILLIT、Number_i、ME:I
2024,IMP.
2024,INI
2024,JO1
2024,King & Prince
2024,Kis-My-Ft2
2024,L'Arc～en～Ciel
2024,LE SSERAFIM
2024,ME:I
2024,MISAMO
2024,MISIA
2024,MY FIRST STORY×HYDE
2024,May J.
2024,Mrs. GREEN APPLE
2024,NewJeans
2024,NiziU
2024,NiziU × 七尾高等学校吹奏楽部
2024,Number_i
2024,ORANGE RANGE
2024,Omoinotake
2024,Perfume
2024,RIIZE
2024,SEVENTEEN
2024,SUPER BEAVER
2024,SUPER EIGHT
2024,SUPER EIGHT × 東海大学付属静岡翔洋高等学校吹奏楽部
2024,SWEET STEADY
2024,Saucy Dog
2024,SixTONES
2024,Snow Man
2024,Stray Kids
2024,Superfly
2024,THE ALFEE
2024,THE RAMPAGE
2024,THE RAMPAGE from EXILE TRIBE
2024,TOMORROW X TOGETHER
2024,TWICE
2024,Travis Japan
2024,Vaundy
2024,XG
2024,aespa
2024,aiko
2024,ano
2024,m-flo loves Maya
2024,m-flo loves 櫻井翔
2024,timelesz
2024,tuki.
2024,あいみょん
2024,いきものがかり
2024,こっちのけんと
2024,すずきまゆみ×清塚信也
2024,なにわ男子
2024,ゆず
2024,イルカ
2024,ゴールデンボンバー
2024,ジェジュン
2024,ダイアモンド🔯ユカイ×King & Prince
2024,マカロニえんぴつ
2024,三代目 J SOUL BROTERS
2024,三代目 J SOUL BROTHERS from EXILE TRIBE
2024,三山ひろし
2024,三浦大知
2024,乃木坂46
2024,南こうせつ
2024,坂本冬美
2024,大塚愛
2024,大森元貴、SAKURA
2024,天童よしみ
2024,屋比久知奈
2024,屋比久知奈＆尾上松也
2024,山内惠介
2024,新しい学校のリーダーズ
2024,新浜レオン
2024,日向坂46
2024,星野源
2024,有吉弘行、橋本環奈、伊藤沙莉
2024,有吉弘行、橋本環奈、伊藤沙莉、 花田ゆういちろう、ながたまや、秋元杏月、 佐久本和夢、じゃじゃまる、ぴっころ、ぽろり、 スプー、みもも、やころ、ルチータ
2024,木村昴
2024,東京スカパラダイスオーケストラ
2024,椎名林檎ともも
2024,櫻坂46
2024,水森かおり
2024,氷川きよし
2024,玉置浩二
2024,田島貴男（Original Love）
2024,由薫
2024,石川さゆり
2024,福山雅治
2024,竹下景子・武田鉄矢・田中健・松崎しげる
2024,米津玄師
2024,紅白出演者有志
2024,純烈
2024,緑黄色社会
2024,藤井隆
2024,藤井風
2024,西野カナ
2024,郷ひろみ
2024,髙橋真梨子
2024,齊藤京子×佐野勇斗
