artist,total_tv_appearances,spotify_popularity,youtube_hit_appearances
倉木麻衣,5,53.0,0
倖田來未,1,6.0,0
優里,4,75.0,0
刀剣男士,1,52.0,0
加山雄三,1,9.0,0
北島三郎,1,39.0,0
北島兄弟,1,8.0,0
南こうせつ,1,33.0,0
和田アキ子,1,38.0,0
坂本冬美,10,45.0,0
堺正章,1,32.0,0
増田恵子,1,22.0,0
大泉洋,1,11.0,0
大黒摩季,1,13.0,0
天童よしみ,10,34.0,0
宇多田ヒカル,1,70.0,0
安全地帯,1,56.0,0
安室奈美恵,1,47.0,0
宮本浩次,7,1.0,0
家入レオ,3,6.0,0
寺尾聰,1,0.0,0
小林幸子,1,39.0,0
小沢健二,5,45.0,0
屋比久知奈,1,0.0,0
山下智久,1,33.0,0
山本彩,1,2.0,0
岡崎体育,1,45.0,0
島津亜矢,5,38.0,0
嵐,20,84.0,0
嶋大輔,1,21.0,0
川崎鷹也,1,60.0,0
工藤静香,2,50.0,0
市川由紀乃,2,29.0,0
平井堅,8,56.0,0
平井大,3,0.0,0
広瀬香美,3,4.0,0
後藤真希,1,30.0,0
新浜レオン,1,28.0,0
木村昴,1,34.0,0
村方乃々佳,1,35.0,0
東京スカパラダイスオーケストラ,2,32.0,0
東京都交響楽団,2,31.0,0
松たか子,1,51.0,0
松下奈緒,1,31.0,0
松任谷由実,3,57.0,0
松平健,2,33.0,0
松田聖子,6,59.0,0
柴咲コウ,1,3.0,0
桐谷健太,2,24.0,0
桑田佳祐,5,59.0,0
梅沢富美男,1,0.0,0
森七菜,1,37.0,0
森山直太朗,2,3.0,0
椎名林檎,7,11.0,0
槇原敬之,2,23.0,0
櫻井翔,1,39.0,0
櫻坂46,11,63.0,0
武田真治,1,23.0,0
氣志團,1,29.0,0
水森かおり,10,32.0,0
氷川きよし,9,44.0,0
池田エライザ,1,27.0,0
渡辺直美,1,26.0,0
玉置浩二,2,53.0,0
瑛人,2,34.0,0
生田絵梨花,2,1.0,0
田島貴男（Original Love）,1,29.0,0
由薫,2,5.0,0
石丸幹二,2,2.0,0
石川さゆり,12,44.0,0
福山雅治,16,57.0,0
秦基博,4,2.0,0
稲葉浩志,1,0.0,0
竹原ピストル,1,1.0,0
篠原涼子,1,41.0,0
米津玄師,2,0.0,0
純烈,6,7.0,0
細川たかし,3,38.0,0
絢香,3,56.0,0
美炎-BIEN-,1,10.0,0
美輪明宏,1,21.0,0
花*花,1,71.0,0
荻野目洋子,2,44.0,0
薬師丸ひろ子,2,51.0,0
藤あや子,1,29.0,0
藤井フミヤ,1,46.0,0
藤井隆,1,39.0,0
藤原さくら,1,43.0,0
西野カナ,14,66.0,0
豊原江理佳,1,1.0,0
郷ひろみ,11,48.0,0
鈴木雅之,4,54.0,0
青山テルマ,1,0.0,0
香西かおり,1,37.0,0
高嶋ちさ子,1,32.0,0
高橋優,1,13.0,0
高橋洋子,2,54.0,0
麻倉未稀,1,33.0,0
［Alexandros］,3,62.0,0
