year,program,artist,appearances,song
2022,NHK紅白歌合戦,三浦大知,4,燦燦
2022,NHK紅白歌合戦,IVE,1,ELEVEN -Japanese ver.-
2022,NHK紅白歌合戦,Snow Man,2,ブラザービート〜紅白みんなでシェー!SP〜
2022,NHK紅白歌合戦,Perfume,15,紅白 Medley 2022[• 9]
2022,NHK紅白歌合戦,THE LAST ROCKSTARS,1,THE LAST ROCKSTARS
2022,NHK紅白歌合戦,Aimer[• 11],1,残響散歌
2022,NHK紅白歌合戦,坂本冬美,34,お祭りマンボ〜スカパラSP〜
2022,NHK紅白歌合戦,ウタ[• 12],1,新時代
2022,NHK紅白歌合戦,King Gnu[• 14],2,Stardom
2022,NHK紅白歌合戦,三山ひろし,8,夢追い人〜第6回けん玉世界記録への道〜
2022,NHK紅白歌合戦,TWICE,4,Celebrate
2022,NHK紅白歌合戦,nan,0,ディズニースペシャルメドレー[• 16][• 17]
2022,NHK紅白歌合戦,Vaundy,1,怪獣の花唄
2022,NHK紅白歌合戦,milet×Aimer×幾田りら×Vaundy,1,おもかげ
2022,NHK紅白歌合戦,純烈（ダチョウ倶楽部・有吉弘行）,5,プロポーズ〜白い雲のように
2022,NHK紅白歌合戦,back number,1,アイラブユー
2022,NHK紅白歌合戦,back number,1,高嶺の花子さん
2022,NHK紅白歌合戦,乃木坂46[• 19],8,裸足でSummer
2022,NHK紅白歌合戦,工藤静香,9,35周年SPメドレー[• 20]
2022,NHK紅白歌合戦,King & Prince,5,ichiban
2022,NHK紅白歌合戦,Official髭男dism[• 21],3,Subtitle
2022,NHK紅白歌合戦,あいみょん,4,ハート〜君はロックを聴かない
2022,NHK紅白歌合戦,加山雄三,18,海 その愛
2022,NHK紅白歌合戦,Superfly[• 4],6,Beautiful
2022,NHK紅白歌合戦,藤井風,2,死ぬのがいいわ
2022,NHK紅白歌合戦,篠原涼子,2,恋しさと せつなさと 心強さと 2023
2022,NHK紅白歌合戦,ゆず,13,夏色
2022,NHK紅白歌合戦,関ジャニ∞,11,T.W.L
2022,NHK紅白歌合戦,星野源[• 21],8,喜劇
2022,NHK紅白歌合戦,氷川きよし,23,限界突破×サバイバー
2022,NHK紅白歌合戦,松任谷由実 with 荒井由実[• 24],6,Call me back
2022,NHK紅白歌合戦,松任谷由実 with 荒井由実[• 24],6,卒業写真
2022,NHK紅白歌合戦,KinKi Kids,2,25th Anniversary Medley [• 27]
2022,NHK紅白歌合戦,安全地帯,2,I Love Youからはじめよう[• 14][• 29]
2022,NHK紅白歌合戦,石川さゆり,45,天城越え
2022,NHK紅白歌合戦,"桑田佳祐 feat. 佐野元春, 世良公則, Char, 野口五郎",1,時代遅れのRock'n'Roll Band[• 14][• 31]
2022,NHK紅白歌合戦,MISIA,7,希望のうた
2022,NHK紅白歌合戦,福山雅治,15,桜坂
2023,NHK紅白歌合戦,新しい学校のリーダーズ,1,オトナブルー
2023,NHK紅白歌合戦,JO1,2,NEWSmile
2023,NHK紅白歌合戦,鈴木雅之,6,め組のひと
2023,NHK紅白歌合戦,Stray Kids[• 2],1,CASE 143 -Japanese ver.-
2023,NHK紅白歌合戦,Perfume[• 2],16,FAKE IT
2023,NHK紅白歌合戦,すとぷり[• 3],1,スキスキ星人
2023,NHK紅白歌合戦,天童よしみ[• 4],28,道頓堀人情
2023,NHK紅白歌合戦,キタニタツヤ,1,青のすみか
2023,NHK紅白歌合戦,緑黄色社会,2,キャラクター
2023,NHK紅白歌合戦,櫻坂46[• 2][• 5],3,Start over!
2023,NHK紅白歌合戦,純烈,6,だってめぐり逢えたんだ〜NHKプラスver.〜
2023,NHK紅白歌合戦,ano,1,ちゅ、多様性。
2023,NHK紅白歌合戦,BE:FIRST[• 2],2,Boom Boom Back
2023,NHK紅白歌合戦,JUJU,2,時の流れに身をまかせ
2023,NHK紅白歌合戦,NiziU,4,Make you happy
2023,NHK紅白歌合戦,LE SSERAFIM,2,UNFORGIVEN (feat. Nile Rodgers) -Japanese ver.-
2023,NHK紅白歌合戦,山内惠介[• 8],9,恋する街角
2023,NHK紅白歌合戦,乃木坂46[• 9],9,おひとりさま天国
2023,NHK紅白歌合戦,郷ひろみ,36,2億4千万の瞳〜ブレイキンSP〜
2023,NHK紅白歌合戦,milet × MAN WITH A MISSION[• 2],4,コイコガレ
2023,NHK紅白歌合戦,MAN WITH A MISSION × milet[• 2],1,絆ノ奇跡
2023,NHK紅白歌合戦,SEVENTEEN[• 10],1,舞い落ちる花びら (Fallin' Flower)
2023,NHK紅白歌合戦,水森かおり[• 11],21,日向岬〜紅白ドミノチャレンジSP〜
2023,NHK紅白歌合戦,ハマいく,1,ビートDEトーヒ
2023,NHK紅白歌合戦,大泉洋,1,あの空に立つ塔のように
2023,NHK紅白歌合戦,Mrs. GREEN APPLE,1,ダンスホール
2023,NHK紅白歌合戦,坂本冬美,35,夜桜お七
2023,NHK紅白歌合戦,MISAMO,1,Do not touch
2023,NHK紅白歌合戦,10-FEET,1,第ゼロ感
2023,NHK紅白歌合戦,NewJeans[• 15],1,NewJeans Special Medley[• 16]
2023,NHK紅白歌合戦,橋本環奈、浜辺美波,0,いつか王子様が
2023,NHK紅白歌合戦,大泉洋、大森元貴、LE SSERAFIM,0,アンダー・ザ・シー
2023,NHK紅白歌合戦,山寺宏一、櫻坂46、Stray Kids,0,フレンド・ライク・ミー
2023,NHK紅白歌合戦,生田絵梨花,0,ウィッシュ～この願い～
2023,NHK紅白歌合戦,紅白有志の皆さん[• 18],0,小さな世界
2023,NHK紅白歌合戦,Official髭男dism[• 15],4,Chessboard
2023,NHK紅白歌合戦,椎名林檎,8,㋚〜さすがに諸行無常篇〜[• 20][• 21]
2023,NHK紅白歌合戦,ゆず,14,ビューティフル
2023,NHK紅白歌合戦,クイーン+アダム・ランバート[• 22],1,ドント・ストップ・ミー・ナウ
2023,NHK紅白歌合戦,三山ひろし,9,どんこ坂〜第7回 けん玉世界記録への道〜
2023,NHK紅白歌合戦,星野源[• 23],9,生命体
2023,NHK紅白歌合戦,Superfly,7,タマシイレボリューション
2023,NHK紅白歌合戦,伊藤蘭[• 15],1,キャンディーズ50周年 紅白SPメドレー[• 25]
2023,NHK紅白歌合戦,YOSHIKI,4,ENDLESS RAIN 〜 Rusty Nail
2023,NHK紅白歌合戦,ポケットビスケッツ&ブラックビスケッツ[• 15],2,YELLOW YELLOW HAPPY〜Timing
2023,NHK紅白歌合戦,薬師丸ひろ子[• 15],3,セーラー服と機関銃
2023,NHK紅白歌合戦,寺尾聰,3,ルビーの指環
2023,NHK紅白歌合戦,Ado[• 31],1,唱
2023,NHK紅白歌合戦,エレファントカシマシ,2,俺たちの明日
2023,NHK紅白歌合戦,あいみょん,5,愛の花
2023,NHK紅白歌合戦,さだまさし[• 34],22,秋桜（コスモス）
2023,NHK紅白歌合戦,石川さゆり,46,津軽海峡・冬景色
2023,NHK紅白歌合戦,藤井フミヤ,6,TRUE LOVE
2023,NHK紅白歌合戦,有吉弘行×藤井フミヤ,6,白い雲のように
2023,NHK紅白歌合戦,YOASOBI,3,アイドル
2023,NHK紅白歌合戦,福山雅治,16,「HELLO〜想望」 紅白スペシャルメドレー
2023,NHK紅白歌合戦,MISIA,8,紅白スペシャル2023 [• 39]
2024,NHK紅白歌合戦,紅白出演者有志,0,切手のないおくりもの
2024,NHK紅白歌合戦,ME:I,1,Click
2024,NHK紅白歌合戦,天童よしみ,29,あんたの花道
2024,NHK紅白歌合戦,こっちのけんと,1,はいよろこんで
2024,NHK紅白歌合戦,Omoinotake,1,幾億光年
2024,NHK紅白歌合戦,Da-iCE,1,I wonder
2024,NHK紅白歌合戦,ILLIT,1,Magnetic
2024,NHK紅白歌合戦,緑黄色社会,3,僕らはいきものだから
2024,NHK紅白歌合戦,ILLIT[• 2]、Number_i、ME:I[• 3],0,コンピューターおばあちゃん
2024,NHK紅白歌合戦,有吉弘行、橋本環奈、伊藤沙莉,0,だんご3兄弟
2024,NHK紅白歌合戦,MISIA,0,ビューティフル・ネーム
2024,NHK紅白歌合戦,有吉弘行、橋本環奈、伊藤沙莉、 花田ゆういちろう、ながたまや、秋元杏月、 佐久本和夢、じゃじゃまる、ぴっころ、ぽろり、 スプー、みもも、やころ、ルチータ,0,からだ☆ダンダン
2024,NHK紅白歌合戦,紅白出演者有志[• 4],0,パプリカ
2024,NHK紅白歌合戦,新浜レオン,1,全てあげよう
2024,NHK紅白歌合戦,櫻坂46,4,自業自得
2024,NHK紅白歌合戦,JO1,3,Love seeker
2024,NHK紅白歌合戦,山内惠介,10,紅の蝶
2024,NHK紅白歌合戦,HY,3,366日
2024,NHK紅白歌合戦,乃木坂46,10,きっかけ
2024,NHK紅白歌合戦,純烈[• 7],7,夢みた果実
2024,NHK紅白歌合戦,LE SSERAFIM,3,CRAZY -Japanese ver.-
2024,NHK紅白歌合戦,tuki.,1,晩餐歌
2024,NHK紅白歌合戦,BE:FIRST,3,Masterplan
2024,NHK紅白歌合戦,TOMORROW X TOGETHER,1,5時53分の空で見つけた君と僕 [Japanese Ver.]
2024,NHK紅白歌合戦,水森かおり[• 9],22,鳥取砂丘〜紅白ドミノチャレンジSP〜
2024,NHK紅白歌合戦,aiko,15,相思相愛
2024,NHK紅白歌合戦,郷ひろみ,37,2億4千万の瞳 放送100年 GO!GO!SP
2024,NHK紅白歌合戦,Creepy Nuts,1,Bling-Bang-Bang-Born
2024,NHK紅白歌合戦,Da-iCE、ME:I[• 11],0,きみもとべるよ![• 12]
2024,NHK紅白歌合戦,乃木坂46,0,レット・イット・ゴー 〜ありのままで〜[• 12]
2024,NHK紅白歌合戦,大森元貴、SAKURA,0,輝く未来[• 12]
2024,NHK紅白歌合戦,紅白出演者有志[• 13],0,星に願いを
2024,NHK紅白歌合戦,GLAY,4,誘惑
2024,NHK紅白歌合戦,坂本冬美[• 14],36,能登はいらんかいね
2024,NHK紅白歌合戦,Vaundy,2,踊り子
2024,NHK紅白歌合戦,椎名林檎ともも,9,ほぼ水の泡
2024,NHK紅白歌合戦,星野源,10,ばらばら
2024,NHK紅白歌合戦,Superfly,8,Beautiful
2024,NHK紅白歌合戦,TWICE,5,「TT〜Feel Special」スーパーメドレー[• 17]
2024,NHK紅白歌合戦,Number_i,1,GOAT
2024,NHK紅白歌合戦,B'z,1,イルミネーション
2024,NHK紅白歌合戦,B'z,1,LOVE PHANTOM
2024,NHK紅白歌合戦,B'z,1,ultra soul
2024,NHK紅白歌合戦,藤井風[• 19],3,満ちてゆく
2024,NHK紅白歌合戦,三山ひろし,10,恋…情念〜第8回 けん玉世界記録への道〜
2024,NHK紅白歌合戦,あいみょん,6,会いに行くのに
2024,NHK紅白歌合戦,南こうせつ,6,神田川[• 21]
2024,NHK紅白歌合戦,イルカ,2,なごり雪[• 21]
2024,NHK紅白歌合戦,竹下景子・武田鉄矢・田中健・松崎しげる,23,もしもピアノが弾けたなら
2024,NHK紅白歌合戦,西野カナ,10,EYES ON YOU 紅白スペシャルメドレー[• 24]
2024,NHK紅白歌合戦,Mrs. GREEN APPLE,2,青と夏〜ライラック 紅白SP
2024,NHK紅白歌合戦,氷川きよし,24,白雲の城
2024,NHK紅白歌合戦,THE ALFEE,2,星空のディスタンス
2024,NHK紅白歌合戦,髙橋真梨子,6,for you…
2024,NHK紅白歌合戦,米津玄師[• 27],2,さよーならまたいつか!
2024,NHK紅白歌合戦,石川さゆり,47,能登半島
2024,NHK紅白歌合戦,玉置浩二,3,悲しみにさよなら
2024,NHK紅白歌合戦,福山雅治,17,「ひとみ〜少年」“あなたへの歌” SPメドレー
2024,NHK紅白歌合戦,MISIA,9,紅白スペシャル2024[• 32]
