artist,year,program
SixTONES,2017,ベストアーティスト
Snow Man,2017,ベストアーティスト
TAKAHIRO,2017,ベストアーティスト
THE YELLOW MONKEY,2017,ベストアーティスト
TOKIO,2017,ベストアーティスト
WANIMA,2017,ベストアーティスト
aiko,2017,ベストアーティスト
back number,2017,ベストアーティスト
きゃりーぱみゅぱみゅ,2017,ベストアーティスト
オースティン・マホーン,2017,ベストアーティスト
ジャニーズWEST,2017,ベストアーティスト
ブルゾンちえみ with B,2017,ベストアーティスト
ポルノグラフィティ,2017,ベストアーティスト
モーニング娘。'17,2017,ベストアーティスト
三代目 J Soul Brothers from EXILE TRIBE,2017,ベストアーティスト
三浦大知,2017,ベストアーティスト
中丸雄一,2017,ベストアーティスト
乃木坂46,2017,ベストアーティスト
亀と山P,2017,ベストアーティスト
修二と彰,2017,ベストアーティスト
倉木麻衣,2017,ベストアーティスト
堺正章,2017,ベストアーティスト
増田恵子,2017,ベストアーティスト
嵐,2017,ベストアーティスト
平井堅,2017,ベストアーティスト
星野源,2017,ベストアーティスト
梅沢富美男,2017,ベストアーティスト
欅坂46,2017,ベストアーティスト
荻野目洋子,2017,ベストアーティスト
関ジャニ∞,2017,ベストアーティスト
AKB48,2018,ベストアーティスト
B.B.クィーンズ,2018,ベストアーティスト
DA PUMP,2018,ベストアーティスト
E-girls,2018,ベストアーティスト
EXILE,2018,ベストアーティスト
GENERATIONS from EXILE TRIBE,2018,ベストアーティスト
Hey! Say! JUMP,2018,ベストアーティスト
KAT-TUN,2018,ベストアーティスト
King & Prince,2018,ベストアーティスト
Kiroro,2018,ベストアーティスト
NEWS,2018,ベストアーティスト
Perfume,2018,ベストアーティスト
Sexy Zone,2018,ベストアーティスト
Superfly,2018,ベストアーティスト
WANIMA,2018,ベストアーティスト
キアラ・セトル,2018,ベストアーティスト
コブクロ,2018,ベストアーティスト
ゴールデンボンバー,2018,ベストアーティスト
ジャニーズWEST,2018,ベストアーティスト
ポルノグラフィティ,2018,ベストアーティスト
乃木坂46,2018,ベストアーティスト
嵐,2018,ベストアーティスト
嶋大輔,2018,ベストアーティスト
平井堅,2018,ベストアーティスト
星野源,2018,ベストアーティスト
欅坂46,2018,ベストアーティスト
西野カナ,2018,ベストアーティスト
高橋洋子,2018,ベストアーティスト
DA PUMP,2019,ベストアーティスト
DEAN FUJIOKA,2019,ベストアーティスト
DJ松永（Creepy Nuts）,2019,ベストアーティスト
Foorin,2019,ベストアーティスト
GENERATIONS from EXILE TRIBE,2019,ベストアーティスト
Hey! Say! JUMP,2019,ベストアーティスト
KAT-TUN,2019,ベストアーティスト
King & Prince,2019,ベストアーティスト
King Gnu,2019,ベストアーティスト
LUNA SEA,2019,ベストアーティスト
Little Glee Monster,2019,ベストアーティスト
MIYAVI,2019,ベストアーティスト
Matt,2019,ベストアーティスト
NEWS,2019,ベストアーティスト
Perfume,2019,ベストアーティスト
SEKAI NO OWARI,2019,ベストアーティスト
Sexy Zone,2019,ベストアーティスト
SixTONES,2019,ベストアーティスト
Snow Man,2019,ベストアーティスト
Superfly,2019,ベストアーティスト
THE RAMPAGE from EXILE TRIBE,2019,ベストアーティスト
WANIMA,2019,ベストアーティスト
いきものがかり,2019,ベストアーティスト
ジェジュン,2019,ベストアーティスト
ジャニーズWEST,2019,ベストアーティスト
三代目 J SOUL BROTHERS from EXILE TRIBE,2019,ベストアーティスト
三浦大知,2019,ベストアーティスト
中元みずき,2019,ベストアーティスト
乃木坂46,2019,ベストアーティスト
倉木麻衣,2019,ベストアーティスト
山崎育三郎,2019,ベストアーティスト
嵐,2019,ベストアーティスト
平井堅,2019,ベストアーティスト
日向坂46,2019,ベストアーティスト
森山直太朗,2019,ベストアーティスト
槇原敬之,2019,ベストアーティスト
欅坂46,2019,ベストアーティスト
花*花,2019,ベストアーティスト
関ジャニ∞,2019,ベストアーティスト
麻倉未稀,2019,ベストアーティスト
AKB48,2020,ベストアーティスト
BTS,2020,ベストアーティスト
DA PUMP,2020,ベストアーティスト
DISH//,2020,ベストアーティスト
EXILE,2020,ベストアーティスト
Foorin,2020,ベストアーティスト
GENERATIONS from EXILE TRIBE,2020,ベストアーティスト
Hey! Say! JUMP,2020,ベストアーティスト
IZ*ONE,2020,ベストアーティスト
KAT-TUN,2020,ベストアーティスト
LiSA,2020,ベストアーティスト
Mr.Children,2020,ベストアーティスト
NEWS,2020,ベストアーティスト
NiziU,2020,ベストアーティスト
Perfume,2020,ベストアーティスト
SEKAI NO OWARI,2020,ベストアーティスト
Sexy Zone,2020,ベストアーティスト
SixTONES,2020,ベストアーティスト
Snow Man,2020,ベストアーティスト
TOMORROW X TOGETHER,2020,ベストアーティスト
いきものがかり,2020,ベストアーティスト
ジェジュン,2020,ベストアーティスト
ジャニーズWEST,2020,ベストアーティスト
ナオト・インティライミ,2020,ベストアーティスト
三代目 J SOUL BROTHERS from EXILE TRIBE,2020,ベストアーティスト
三浦大知,2020,ベストアーティスト
乃木坂46,2020,ベストアーティスト
宮本浩次,2020,ベストアーティスト
家入レオ,2020,ベストアーティスト
嵐,2020,ベストアーティスト
日向坂46,2020,ベストアーティスト
柴咲コウ,2020,ベストアーティスト
池田エライザ,2020,ベストアーティスト
清塚信也,2020,ベストアーティスト
福山雅治,2020,ベストアーティスト
絢香,2020,ベストアーティスト
関ジャニ∞,2020,ベストアーティスト
［Alexandros］,2020,ベストアーティスト
AKB48,2021,ベストアーティスト
Awesome City Club × 宮本笑里,2021,ベストアーティスト
BE:FIRST,2021,ベストアーティスト
BiSH,2021,ベストアーティスト
Creepy Nuts,2021,ベストアーティスト
DA PUMP,2021,ベストアーティスト
DISH//,2021,ベストアーティスト
EXILE,2021,ベストアーティスト
EXIT,2021,ベストアーティスト
GENERATIONS from EXILE TRIBE,2021,ベストアーティスト
Hey! Say! JUMP,2021,ベストアーティスト
J-FRIENDS,2021,ベストアーティスト
JUJU,2021,ベストアーティスト
KAT-TUN,2021,ベストアーティスト
KinKi Kids,2021,ベストアーティスト
King & Prince,2021,ベストアーティスト
L'Arc〜en〜Ciel,2021,ベストアーティスト
LiSA,2021,ベストアーティスト
MISIA,2021,ベストアーティスト
Mr.Children,2021,ベストアーティスト
NEWS,2021,ベストアーティスト
NiziU,2021,ベストアーティスト
Perfume,2021,ベストアーティスト
SMAP,2021,ベストアーティスト
Sexy Zone,2021,ベストアーティスト
SexyZone × モーニング娘。,2021,ベストアーティスト
SixTONES,2021,ベストアーティスト
Snow Man,2021,ベストアーティスト
TOKIO,2021,ベストアーティスト
TOMORROW X TOGETHER,2021,ベストアーティスト
V6,2021,ベストアーティスト
YOASOBI,2021,ベストアーティスト
aiko,2021,ベストアーティスト
いきものがかり,2021,ベストアーティスト
なにわ男子,2021,ベストアーティスト
ジャニーズWEST,2021,ベストアーティスト
