artist,total_tv_appearances,spotify_popularity,youtube_hit_appearances,google_trends_score,cluster
Rockon Social Club,1,29.0,0.0,7.202290076335878,1
SEKAI NO OWARI,20,67.0,0.0,27.171755725190838,2
SEVENTEEN,4,82.0,0.0,44.49236641221374,0
SHISHAMO,2,62.0,0.0,8.33206106870229,0
SKE48,1,36.0,0.0,21.759541984732824,0
SMAP,3,14.0,0.0,25.729007633587788,1
STU48,1,32.0,0.0,13.603053435114504,1
SUPER BEAVER,4,65.0,0.0,38.16412213740458,0
SUPER EIGHT,1,54.0,0.0,11.36259541984733,0
SWEET STEADY,1,44.0,0.0,9.942748091603054,0
Saucy Dog,4,67.0,0.0,22.763358778625953,0
Sexy Zone,20,0.0,0.0,20.778625954198475,2
SixTONES,15,66.0,17.0,34.14885496183206,3
Snow Man,12,65.0,0.0,38.17557251908397,2
Stray Kids,6,87.0,0.0,41.25190839694657,0
Suchmos,1,59.0,0.0,8.16793893129771,0
Superfly,15,63.0,0.0,16.099236641221374,2
TAKAHIRO,1,37.0,0.0,13.633587786259541,0
THE ALFEE,1,49.0,0.0,11.110687022900763,0
THE LAST ROCKSTARS,1,22.0,0.0,2.8053435114503817,1
THE RAMPAGE,6,55.0,0.0,32.603053435114504,0
THE RAMPAGE from EXILE TRIBE,3,55.0,0.0,32.70610687022901,0
THE YELLOW MONKEY,5,53.0,0.0,28.14503816793893,0
TOKIO,10,67.0,0.0,8.641221374045802,0
TOMORROW X TOGETHER,3,82.0,0.0,16.5,0
TWICE,8,87.0,0.0,46.43893129770992,2
Tani Yuuki,1,62.0,0.0,27.900763358778626,0
Toshl,4,26.0,0.0,28.553435114503817,0
Travis Japan,2,63.0,0.0,27.919847328244273,0
UVERworld,1,63.0,0.0,29.251908396946565,0
Uru,1,14.0,0.0,14.767175572519085,1
V6,7,44.0,0.0,9.942748091603054,0
Vaundy,3,75.0,0.0,19.248091603053435,0
WANIMA,7,63.0,0.0,27.263358778625953,0
X JAPAN,6,53.0,0.0,8.057251908396946,0
XG,1,57.0,2.0,15.599236641221374,0
YOASOBI,6,76.0,0.0,25.095419847328245,0
YOSHIKI,2,39.0,0.0,12.236641221374045,0
YUKI,2,31.0,0.0,24.217557251908396,0
aespa,1,81.0,0.0,32.97709923664122,0
aiko,17,13.0,1.0,16.064885496183205,2
ano,3,13.0,0.0,12.587786259541986,1
back number,8,77.0,15.0,26.248091603053435,3
m-flo,1,57.0,0.0,14.599236641221374,0
m-flo loves Maya,1,0.0,0.0,0.7404580152671756,1
m-flo loves 櫻井翔,1,0.0,0.0,0.3816793893129771,1
milet,7,64.0,0.0,12.896946564885496,0
miwa,3,55.0,0.0,17.18320610687023,0
timelesz,1,59.0,0.0,6.133587786259542,0
tuki.,1,31.0,0.0,4.370229007633588,1
yama,2,2.0,2.0,18.81297709923664,1
μ's,1,11.0,0.0,32.30152671755725,1
あいみょん,11,4.0,15.0,28.431297709923665,3
いきものがかり,15,0.0,0.0,16.255725190839694,2
おしりたんてい,1,0.0,0.0,12.687022900763358,1
きゃりーぱみゅぱみゅ,6,6.0,0.0,5.629770992366412,1
こっちのけんと,2,1.0,0.0,2.145038167938931,1
さだまさし,3,46.0,0.0,22.31297709923664,0
すとぷり,1,49.0,0.0,26.087786259541986,0
ちゃんみな,1,0.0,2.0,16.50763358778626,1
なにわ男子,8,61.0,8.0,26.755725190839694,0
ひらめ,1,17.0,0.0,13.935114503816793,1
まふまふ,1,23.0,0.0,5.748091603053435,1
ゆず,20,59.0,0.0,37.454198473282446,2
イルカ,1,40.0,0.0,28.33206106870229,0
ウタ,2,31.0,0.0,8.061068702290076,1
エレファントカシマシ,2,0.0,0.0,20.50381679389313,1
オースティン・マホーン,1,0.0,0.0,11.202290076335878,1
キアラ・セトル,1,0.0,0.0,1.549618320610687,1
キタニタツヤ,1,0.0,0.0,13.84732824427481,1
キョコロヒー,1,8.0,0.0,21.450381679389313,1
クイーン+アダム・ランバート,1,0.0,0.0,34.221374045801525,1
クリス松村,1,0.0,0.0,18.438931297709924,1
ケツメイシ,1,61.0,0.0,14.702290076335878,0
ゲスの極み乙女。,4,56.0,0.0,37.103053435114504,0
コブクロ,6,10.0,0.0,8.820610687022901,1
ゴスペラーズ,2,0.0,0.0,36.29770992366412,1
ゴールデンボンバー,11,1.0,0.0,13.69083969465649,1
サザンオールスターズ,2,0.0,0.0,24.564885496183205,1
ジェジュン,9,31.0,0.0,21.35114503816794,2
ジャニーズJr.,1,0.0,0.0,26.0,1
ジャニーズWEST,15,0.0,0.0,40.958015267175576,2
スガシカオ,2,0.0,0.0,18.385496183206108,1
スキマスイッチ,2,1.0,0.0,31.129770992366414,1
スチャダラパー,1,17.0,0.0,17.83206106870229,1
スティング,1,13.0,0.0,38.33969465648855,0
ダイアモンド☆ユカイ,1,0.0,0.0,17.248091603053435,1
トータス松本,1,29.0,0.0,3.8702290076335877,1
ナオト・インティライミ,3,0.0,0.0,14.30916030534351,1
ハマいく,1,31.0,0.0,1.251908396946565,1
ビリー・アイリッシュ,1,3.0,0.0,14.797709923664122,1
ビートたけし,1,1.0,0.0,13.064885496183207,1
ピコ太郎,3,0.0,0.0,22.34732824427481,1
ブラックビスケッツ,1,0.0,0.0,3.1106870229007635,1
ポルノグラフィティ,9,4.0,0.0,27.32442748091603,2
マカロニえんぴつ,5,12.0,0.0,25.087786259541986,1
モーニング娘。'17,1,0.0,0.0,3.0763358778625953,1
モーニング娘。MステSPユニット（モーニング娘。’23＆OGメンバー）,1,0.0,0.0,0.0,1
レベッカ,1,42.0,0.0,29.858778625954198,0
レミオロメン,1,53.0,0.0,12.82824427480916,0
一青窈,1,1.0,0.0,14.961832061068701,1
三代目 J SOUL BROTERS,1,0.0,0.0,0.0,1
三代目 J SOUL BROTHERS,3,18.0,0.0,25.47328244274809,1
三代目 J SOUL BROTHERS from EXILE TRIBE,4,18.0,0.0,23.301526717557252,1
三代目 J Soul Brothers,8,18.0,0.0,25.47328244274809,2
三代目 J Soul Brothers from EXILE TRIBE,3,18.0,0.0,23.297709923664122,1
三山ひろし,10,33.0,0.0,24.232824427480917,2
三浦大知,15,0.0,0.0,27.0,2
三浦祐太朗,1,0.0,0.0,17.041984732824428,1
上白石萌音,2,0.0,0.0,27.427480916030536,1
丘みどり,3,32.0,0.0,13.622137404580153,1
中丸雄一,2,0.0,0.0,1.4389312977099236,1
中元みずき,2,0.0,0.0,3.4083969465648853,1
中島美嘉,3,0.0,0.0,13.759541984732824,1
乃木坂46,31,11.0,0.0,38.1793893129771,2
久保田利伸,1,54.0,0.0,13.34351145038168,0
亀と山P,2,0.0,0.0,3.732824427480916,1
五木ひろし,6,43.0,0.0,15.874045801526718,0
今井美樹,1,50.0,0.0,17.919847328244273,0
伊藤蘭,1,10.0,0.0,4.152671755725191,1
伍代夏子,1,29.0,0.0,9.591603053435115,1
修二と彰,1,0.0,0.0,23.30916030534351,1
倉木麻衣,5,53.0,0.0,22.874045801526716,0
倖田來未,1,6.0,0.0,24.16412213740458,1
優里,4,75.0,0.0,24.931297709923665,0
刀剣男士,1,52.0,0.0,33.4236641221374,0
加山雄三,1,9.0,0.0,5.923664122137405,1
北島三郎,1,39.0,0.0,17.759541984732824,0
北島兄弟,1,8.0,0.0,2.8435114503816794,1
南こうせつ,1,33.0,0.0,4.770992366412214,1
和楽器バンド,2,0.0,0.0,16.591603053435115,1
和田アキ子,1,38.0,0.0,22.740458015267176,0
坂本冬美,10,45.0,0.0,14.591603053435115,2
堺正章,1,32.0,0.0,13.244274809160306,1
増田恵子,1,22.0,0.0,7.244274809160306,1
大原櫻子,1,0.0,0.0,3.030534351145038,1
大塚愛,3,0.0,0.0,15.17557251908397,1
大森元貴、SAKURA,1,0.0,0.0,0.3816793893129771,1
大泉洋,1,11.0,0.0,23.240458015267176,1
大泉洋、大森元貴、LE SSERAFIM,1,0.0,0.0,0.0,1
大竹しのぶ,1,0.0,0.0,10.206106870229007,1
大黒摩季,1,13.0,0.0,6.740458015267175,1
天童よしみ,10,34.0,0.0,19.900763358778626,2
宇多田ヒカル,1,70.0,2.0,21.232824427480917,0
安全地帯,1,56.0,0.0,13.5,0
安室奈美恵,1,47.0,0.0,37.713740458015266,0
宮本浩次,7,1.0,0.0,12.358778625954198,1
家入レオ,3,6.0,1.0,14.65267175572519,1
寺尾聰,1,0.0,0.0,3.0114503816793894,1
小室哲哉+HYDE,1,0.0,0.0,23.958015267175572,1
小林幸子,1,39.0,0.0,23.748091603053435,0
小沢健二,5,45.0,0.0,11.251908396946565,0
屋比久知奈,1,0.0,0.0,5.366412213740458,1
屋比久知奈＆尾上松也,1,0.0,0.0,0.3816793893129771,1
山下智久,1,33.0,0.0,6.255725190839694,1
山内惠介,10,0.0,0.0,44.51145038167939,2
山寺宏一、櫻坂46、Stray Kids,1,0.0,0.0,1.0763358778625953,1
山崎育三郎,1,0.0,0.0,7.416030534351145,1
山本彩,1,2.0,0.0,15.774809160305344,1
岡崎体育,1,45.0,0.0,19.217557251908396,0
島津亜矢,5,38.0,0.0,14.038167938931299,0
嵐,20,84.0,0.0,9.541984732824428,2
嶋大輔,1,21.0,0.0,9.942748091603054,1
川崎鷹也,1,60.0,2.0,21.083969465648856,0
工藤静香,2,50.0,0.0,23.736641221374047,0
市川由紀乃,2,29.0,0.0,19.782442748091604,0
布袋寅泰,1,0.0,0.0,12.007633587786259,1
平井堅,8,56.0,0.0,29.64503816793893,2
平井大,3,0.0,0.0,25.16793893129771,1
平手友梨奈（欅坂46）,1,0.0,0.0,16.206106870229007,1
広瀬香美,3,4.0,0.0,17.702290076335878,1
後藤真希,1,30.0,0.0,7.591603053435114,1
德永英明,1,0.0,0.0,34.25954198473283,1
新しい学校のリーダーズ,3,0.0,0.0,11.465648854961833,1
新浜レオン,1,28.0,0.0,5.530534351145038,1
日向坂46,16,0.0,0.0,36.221374045801525,2
星野源,21,0.0,10.0,4.614503816793893,3
有吉弘行、橋本環奈、伊藤沙莉,1,0.0,0.0,0.3816793893129771,1
有吉弘行、橋本環奈、伊藤沙莉、 花田ゆういちろう、ながたまや、秋元杏月、 佐久本和夢、じゃじゃまる、ぴっころ、ぽろり、 スプー、みもも、やころ、ルチータ,1,0.0,0.0,0.3816793893129771,1
木村カエラ,1,0.0,0.0,19.3206106870229,1
木村昴,1,34.0,0.0,26.133587786259543,0
村方乃々佳,1,35.0,0.0,6.614503816793893,1
東京スカパラダイスオーケストラ,2,32.0,0.0,15.568702290076336,0
東京事変,4,0.0,1.0,11.148854961832061,1
東京都交響楽団,2,31.0,0.0,13.194656488549619,1
松たか子,1,51.0,0.0,14.507633587786259,0
松下奈緒,1,31.0,0.0,16.68320610687023,1
松任谷由実,3,57.0,0.0,13.099236641221374,0
松平健,2,33.0,0.0,11.404580152671755,1
松田聖子,6,59.0,0.0,2.935114503816794,0
柴咲コウ,1,3.0,0.0,19.27480916030534,1
桐谷健太,2,24.0,0.0,8.022900763358779,1
桑田佳祐,5,59.0,0.0,17.96946564885496,0
梅沢富美男,1,0.0,0.0,30.52671755725191,1
森七菜,1,37.0,0.0,7.961832061068702,1
森山直太朗,2,3.0,0.0,17.435114503816795,1
森進一,1,0.0,0.0,6.870229007633588,1
森高千里,1,0.0,0.0,19.217557251908396,1
椎名林檎,7,11.0,0.0,23.202290076335878,1
椎名林檎ともも,1,0.0,0.0,0.48854961832061067,1
椎名林檎と松崎ナオ,1,0.0,0.0,0.3816793893129771,1
槇原敬之,2,23.0,0.0,37.045801526717554,0
橋本環奈、浜辺美波,1,0.0,0.0,3.9198473282442747,1
櫻井翔,1,39.0,0.0,4.385496183206107,1
櫻坂46,11,63.0,0.0,40.70992366412214,2
欅坂46,12,0.0,0.0,7.851145038167939,1
武田真治,1,23.0,0.0,21.244274809160306,1
氣志團,1,29.0,0.0,14.320610687022901,1
水森かおり,10,32.0,0.0,22.3206106870229,2
氷川きよし,9,44.0,0.0,14.950381679389313,0
池田エライザ,1,27.0,0.0,3.4656488549618323,1
浜崎あゆみ,1,0.0,0.0,18.870229007633586,1
浜田ばみゅばみゅ,1,0.0,0.0,1.9694656488549618,1
清塚信也,2,0.0,0.0,9.557251908396946,1
清水美依紗,2,0.0,0.0,9.461832061068701,1
渡辺直美,1,26.0,0.0,7.942748091603053,1
玉置浩二,2,53.0,0.0,12.713740458015268,0
瑛人,2,34.0,0.0,8.473282442748092,1
生田絵梨花,2,1.0,0.0,12.083969465648854,1
田島貴男（Original Love）,1,29.0,0.0,0.0,1
由薫,2,5.0,1.0,7.576335877862595,1
石丸幹二,2,2.0,0.0,17.790076335877863,1
石川さゆり,12,44.0,0.0,9.931297709923664,2
福山雅治,16,57.0,0.0,20.64503816793893,2
福田こうへい,2,0.0,0.0,25.202290076335878,1
秦基博,4,2.0,0.0,31.438931297709924,1
稲葉浩志,1,0.0,0.0,9.33206106870229,1
竹下景子・武田鉄矢・田中健・松崎しげる,1,0.0,0.0,0.44274809160305345,1
竹内まりや,1,0.0,0.0,12.759541984732824,1
竹原ピストル,1,1.0,0.0,19.84351145038168,1
篠原涼子,1,41.0,0.0,8.629770992366412,0
米津玄師,2,0.0,20.0,11.687022900763358,3
紅白出演者有志,3,0.0,0.0,0.3816793893129771,1
紅白有志の皆さん,1,0.0,0.0,0.3816793893129771,1
