year,program,artist,appearances,song,tags,type,origin,associated_acts,members,MB_Producers,MB_MemberOf,Wiki_Summary,spotify_followers,spotify_popularity,artist_category
2015,NHK紅白歌合戦,Sexy Zone,3.0,ニッポン Cha-Cha-Cha チャンピオン,J-POP,男性グループ,日本,,"佐藤勝利, 菊池風磨, 松島聡, 寺西拓人, 原嘉孝, 橋本将生, 猪俣周杜, 篠塚大輝",情報なし,"長瀬実夕, 長瀬実夕, 町田紀彦, 舞衣子, 舞衣子, 舞衣子, MIZUHO, 西村朝香, 西村朝香, TAKAYO",timelesz（タイムレス）は、日本の8人組男性アイドルグループ。所属事務所はSTARTO ENTERTAINMENT、所属レコードレーベルはOver The Top。ファンネームは「secondz」（セカンズ）、マスコットキャラクターは「TAM」。,200.0,0.0,男性グループ
2015,NHK紅白歌合戦,Superfly,1.0,Beautiful,"J-POP, ロック",Group,"日本, 愛媛県, 松山市","蔦谷好位置, 多保孝一, 松岡モトキ","越智志帆, （, ボーカル, ）",情報なし,"多保孝一, 越智志帆, The Yogurts",Superfly（スーパーフライ）は、越智志帆（おちしほ）がボーカルを務める日本の音楽ユニット。所属レーベルはユニバーサルシグマ、マネジメントは44 CARAT。,1558887.0,63.0,その他
2015,NHK紅白歌合戦,TOKIO,22.0,AMBITIOUS JAPAN!,"パワー, ポップ, ロック",Group,日本,,,情報なし,"小島啓, 山口達也, 城島茂, 国分太一, 松岡昌宏, 長瀬智也",TOKIO（トキオ）は、日本の男性アイドルグループ、ロックバンドである。1994年9月21日にデビューし、2025年6月25日に解散した。所属事務所は株式会社TOKIO[注 1]、所属レコード会社はストームレーベルズ。本記事では、所属する株式会社TOKIOについても述べる。,1279948.0,67.0,男性グループ
2015,NHK紅白歌合戦,V6,2.0,ザッツ!V6メドレー[※ 16],"J-POP, バンド, ロック",Group,,,,情報なし,"三宅健, 井ノ原快彦, 森田剛, 長野博, 岡田准一, 坂本昌行",V6（ブイシックス、ブイろく）,131946.0,44.0,その他
2015,NHK紅白歌合戦,X JAPAN,6.0,紅白スペシャルメドレー 〜We are X !〜[※ 18],"ヴィジュアル系, ヘヴィメタル, グラムロック, スピードメタル, パワーメタル, シンフォニックメタル",Group,"日本, 千葉県, 館山市",津田直士,"YOSHIKI, （, ドラムス, ピアノ, コンポーザー, ）, Toshl, （, ボーカル, ）, PATA, （, ギター, ）, HEATH, （, ベース, ）, SUGIZO, （ギター, ヴァイオリン, ）",情報なし,"TOMO, 泉沢裕二, TOSHI, YOSHIKI, 徳応アツシ, Eddy, TAIJI, 高井寿, XENON, 宇高光, 吉田良文, 高井寿, TAIJI, 村上悟, 堀功, hide, PATA, heath, heath, PATA, TOSHI, YOSHIKI, YOSHIKI, SUGIZO",X JAPAN（エックスジャパン）は、日本のヴィジュアル系ロックバンド。旧称および通称はX（エックス）。,669984.0,53.0,その他
2015,NHK紅白歌合戦,miwa,3.0,fighting-φ-girls,J-POP,femaleソロ,Hayama,"NAOKI-T, Quatre-M",,情報なし,"Radio Kamones, J.K.RADIOFISH",概要なし,895821.0,55.0,女性ソロ
2015,NHK紅白歌合戦,μ's,1.0,それは僕たちの奇跡,"J-POP, アニメソング, ゲームソング",女性グループ,日本,"畑亜貴, （作詞）","新田恵海, （高坂穂乃果 役）, 南條愛乃, （絢瀬絵里 役）, 内田彩, （南ことり 役）, 三森すずこ, （園田海未 役）, 飯田里穂, （星空凛 役）, Pile, （西木野真姫 役）, 楠田亜衣奈, （東條希 役）, 久保ユリカ, （小泉花陽 役）, 徳井青空, （矢澤にこ 役）",情報なし,"絢瀬絵里, 星空凛, 小泉花陽, 高坂穂乃果, 南ことり, 西木野真姫, 園田海未, 東條希, 矢澤にこ",『μ's』（ミューズ）は、メディアミックス作品群『ラブライブ!』に登場する架空の9人組女性スクールアイドルグループ、およびそのキャラクターの声を演じる声優達による実在の9人組女性声優ユニットの名称である。声優ユニットの所属レーベルはランティス（バンダイナムコアーツ）。,2605.0,11.0,女性グループ
2015,NHK紅白歌合戦,いきものがかり,8.0,ありがとう,"ポップ, ロック, J-POP",Group,"日本, 神奈川県","本間昭光, 亀田誠治, 島田昌典, 江口亮","吉岡聖恵, （, ボーカル, ）, 水野良樹, （, ギター, ピアノ, ）",情報なし,"山下穂尊, 水野良樹, 吉岡聖恵",概要なし,,,その他
2015,NHK紅白歌合戦,ゆず,6.0,かける,"J-POP, アニメ, ロック",Group,Yokohama,,,情報なし,"岩沢厚治, 北川悠仁, THE HAJIMALS",ユズ（柚子、学名: Citrus junos）はミカン科ミカン属の常緑小高木。柑橘類の1つ。ホンユズとも呼ばれる。消費量・生産量ともに日本が最大である。果実の酸味と香りが好まれて、果汁は少なく、主に果皮を日本料理の香りづけに使う。,1974458.0,59.0,その他
2015,NHK紅白歌合戦,ゲスの極み乙女。,1.0,私以外私じゃないの,"J-POP, ポップ, ロック, プログレッシブ, ロック, ヒップホップ, ジャズ, ファンク",Group,日本,,"川谷絵音, （, ボーカル, ギター, ）, 休日課長, （, ベース, ）, ちゃんMARI, （, キーボード, ）, ほな, いこか, （, ドラムス, ）",情報なし,"ちゃんMARI, ほな・いこか, 川谷絵音, 休日課長",概要なし,440642.0,56.0,その他
