year,program,artist,appearances,song,tags,type,origin,associated_acts,members
2023,ミュージックステーションスーパーライブ,L'Arc〜en〜Ciel,,,"ポップ・ロック, ハードロック, ニュー・ウェイヴ, ポストパンク, グランジ, オルタナティヴ・ロック",Group,"日本, 大阪府, 大阪市","岡野ハジメ, （, 共同プロデューサー, 、1996年 - ）","hyde, （, ボーカル, ）, ken, （, ギター, ）, tetsuya, （, ベース, ）, yukihiro, （, ドラムス, ）"
2023,ミュージックステーションスーパーライブ,LE SSERAFIM,,,K-POP,Group,"韓国, ソウル特別市",HYBE,"SAKURA, KIM CHAEWON, HUH YUNJIN, KAZUHA, HONG EUNCHAE"
2023,ミュージックステーションスーパーライブ,Little Glee Monster,,,J-POP,Group,日本,,"かれん（古賀かれん）, MAYU（吉田真悠）, アサヒ（小林あさひ）, ミカ（藤平美香）, 結海（永井結海）, miyou（カマラみゆアイダ）"
2023,ミュージックステーションスーパーライブ,Mrs. GREEN APPLE,,,"J-POP, ポップ・ロック, ダンス, ロック",Group,日本,"中西亮輔, 伊藤賢, 高橋諒, 山下洋介","大森元貴, （, ボーカル, ・, ギター, ）, 若井滉斗（ギター）, 藤澤涼架（, キーボード, ）"
2023,ミュージックステーションスーパーライブ,NiziU,,,"J-POP, K-POP",Group,日本,"ソニー・ミュージックエンタテインメント, J.Y. Park","MAKO, RIO, MAYA, RIKU, AYAKA, MAYUKA, RIMA, MIIHI, NINA"
2023,ミュージックステーションスーパーライブ,Perfume,,,"J-POP, テクノ歌謡, テクノポップ, エレクトロニカ, フューチャーポップ, EDM, チップチューン, テクノ, シンセポップ, ハウス, エレクトロ・ポップ, フューチャー・ベース",Group,"日本, 広島県","中田ヤスタカ, MIKIKO","樫野有香, （かしゆか）, 西脇綾香, （あ〜ちゃん）, 大本彩乃, （のっち）"
2023,ミュージックステーションスーパーライブ,SEKAI NO OWARI,,,"J-POP, インディー・ポップ, スタジアム・ロック, EDM, ジャズ",Group,"日本, 東京都, 大田区","CHRYSANTHEMUM BRIDGE, 小林武史","Nakajin, （, ギター, ）, Fukase, （, ボーカル, ）, Saori, （, ピアノ, ）, DJ LOVE, （, DJ, ）"
2023,ミュージックステーションスーパーライブ,SUPER BEAVER,,,ロック,Group,"日本, 東京都",,"渋谷龍太, （, ボーカル, ）, 柳沢亮太, （, ギター, ）, 上杉研太（, ベース, ）, 藤原“37才”広明（, ドラムス, ）"
2023,ミュージックステーションスーパーライブ,Saucy Dog,,,ロック,Group,"日本, 大阪府",,"石原慎也, （, ボーカル, ・, ギター, ）, 秋澤和貴（, ベース, ）, せとゆいか（, ドラムス, ・, コーラス, ）"
2023,ミュージックステーションスーパーライブ,SixTONES,,,J-POP,男性グループ,日本,,"ジェシー, 京本大我, 松村北斗, 髙地優吾, 森本慎太郎, 田中樹"
2023,ミュージックステーションスーパーライブ,Snow Man,,,J-POP,男性グループ,日本,,"岩本照, 深澤辰哉, ラウール, 渡辺翔太, 向井康二, 阿部亮平, 目黒蓮, 宮舘涼太, 佐久間大介"
2023,ミュージックステーションスーパーライブ,Stray Kids,,,"K-POP, ポップラップ, EDM",Group,"韓国, ソウル特別市",,"バンチャン, リノ, チャンビン, ヒョンジン, ハン, フィリックス, スンミン, アイエン"
2023,ミュージックステーションスーパーライブ,THE RAMPAGE,,,"J-POP, 、, hip hop",Group,Liverpool,,
2023,ミュージックステーションスーパーライブ,Toshl,,,"J-POP, ヴィジュアル系, ロック, ヘヴィメタル, パワーメタル",maleソロ,"日本, ・, 千葉県, 館山市",X JAPAN,
2023,ミュージックステーションスーパーライブ,YOASOBI,,,"物語音楽, J-POP, アジアン・ポップス, エレクトロ・ポップ, アニメソング",Group,日本,,"Ayase, （, コンポーザー, ）, ikura, （, ボーカル, ）"
2023,ミュージックステーションスーパーライブ,aiko,,,J-POP,femaleソロ,"日本, 大阪府, 吹田市","島田昌典, OSTER project, トオミヨウ",
2023,ミュージックステーションスーパーライブ,ano,,,J-POP,ソロ,日本,"ゆるめるモ!, （2013年 - 2019年）, I's, （2021年 - 2024年）",
